aggregate,score_biology,score_chemistry,score_physics,score_math,score_english,score_government,score_literature,score_accounting,score_business_management,score_art,score_agriculture,score_ict,interest_healthcare,interest_technology,interest_business,interest_creative,interest_engineering,interest_law,interest_education,interest_agriculture,target
28,59,67,67,50,61,75,58,56,70,40,40,64,5,7,6,6,0,2,2,6,Teacher
7,100,92,100,77,68,100,68,99,74,58,83,100,3,3,3,0,3,3,5,8,Medical Doctor
11,97,100,89,86,69,99,65,59,86,76,94,90,0,6,0,8,2,0,7,6,Pharmacist
28,51,61,46,64,91,59,59,42,72,58,65,74,3,4,2,8,4,6,6,8,Teacher
25,46,59,67,49,66,64,63,52,42,87,71,77,8,8,0,3,7,1,3,6,Teacher
28,40,68,50,53,74,40,60,66,52,60,61,73,9,5,5,0,4,0,8,9,Teacher
30,40,76,53,40,86,61,60,40,68,52,52,66,5,9,3,8,1,3,0,6,Teacher
10,87,83,77,58,80,80,88,63,81,93,95,57,8,8,1,8,7,6,7,9,Pharmacist
14,72,72,97,68,76,74,85,100,76,57,80,64,2,8,9,6,2,7,9,1,Civil Engineer
13,100,100,73,59,85,73,98,68,88,82,70,84,4,3,1,0,0,1,0,8,Nurse
24,58,77,70,62,68,61,77,42,61,57,68,47,2,3,9,0,1,5,0,8,Teacher
19,57,72,82,59,67,67,58,50,55,49,68,68,1,8,4,8,5,9,9,2,Accountant
14,48,97,68,65,74,96,86,81,66,93,64,94,9,0,1,9,4,5,1,9,Business Analyst
12,82,91,77,66,100,91,75,83,76,67,92,100,7,9,3,1,3,1,4,6,Accountant
16,88,90,89,55,90,68,74,74,66,71,78,61,3,0,9,5,9,2,4,5,Nurse
15,89,76,66,77,83,55,75,65,92,69,82,66,5,3,2,8,9,4,7,3,Software Engineer
21,72,71,70,58,66,68,71,67,79,69,71,62,8,3,7,6,7,4,1,6,Teacher
34,47,40,56,50,48,65,40,42,40,40,50,72,7,6,8,7,7,1,0,5,Teacher
28,42,40,40,41,48,61,42,69,60,40,59,62,9,5,0,5,6,5,2,8,Teacher
31,55,94,83,67,61,68,72,66,48,86,63,90,4,7,3,9,9,2,5,9,Teacher
19,65,80,66,76,68,69,65,62,86,74,90,40,3,6,2,8,9,8,6,6,Agricultural Scientist
13,71,88,62,55,84,89,71,65,99,79,65,58,0,9,1,5,5,8,9,3,Pharmacist
8,54,94,100,92,92,100,95,87,96,100,95,80,8,7,8,8,1,1,8,1,Lawyer
22,67,73,41,69,73,56,99,70,55,58,55,55,6,2,1,9,8,8,8,9,Teacher
30,75,93,72,48,46,74,40,58,40,61,72,64,1,9,4,1,9,6,8,2,Teacher
25,54,67,57,68,42,46,49,50,68,66,72,78,8,9,8,9,5,0,7,8,Teacher
18,95,66,68,70,65,46,91,63,82,66,63,54,6,2,2,7,6,4,5,8,Teacher
8,62,89,78,75,100,84,95,95,100,69,100,88,7,9,8,6,3,3,2,7,Lawyer
21,51,82,91,74,85,76,51,82,74,53,59,74,1,9,3,5,6,6,3,9,Teacher
34,69,43,54,72,58,44,47,81,53,60,40,56,9,6,7,8,1,3,0,2,Teacher
20,80,90,40,75,60,78,77,90,85,48,42,66,6,9,8,8,6,3,3,6,Teacher
32,69,70,59,82,42,84,75,92,40,54,67,63,3,1,3,6,8,2,2,3,Teacher
35,49,50,64,99,46,76,89,53,58,64,53,40,8,9,6,1,1,1,4,0,Teacher
7,76,83,91,59,85,79,98,93,100,59,80,92,0,2,2,4,6,0,0,9,Medical Doctor
35,90,87,65,63,42,60,78,40,69,70,70,50,7,0,4,2,3,3,7,9,Teacher
21,56,78,46,80,76,99,95,56,87,63,73,94,0,2,9,6,8,8,5,5,Teacher
7,78,94,96,72,100,81,86,85,90,100,80,66,7,7,8,8,6,8,5,8,Medical Doctor
32,66,75,52,46,50,55,72,84,50,97,56,60,3,5,2,5,6,9,2,4,Teacher
13,90,53,86,77,68,100,74,75,76,100,82,79,0,3,1,7,3,7,1,3,Civil Engineer
26,54,46,76,52,64,40,69,68,42,76,69,72,2,5,1,1,7,9,4,4,Teacher
32,40,63,40,54,89,68,79,68,67,40,90,84,3,6,9,5,8,6,2,6,Teacher
26,74,74,40,71,51,64,54,54,51,72,58,57,6,7,2,2,0,2,4,5,Teacher
10,79,65,65,87,98,74,83,75,82,100,100,78,5,4,0,7,9,1,3,2,Architect
22,73,70,59,68,68,40,66,80,60,55,55,71,3,7,5,6,1,3,3,1,Teacher
21,76,76,80,54,81,70,85,68,77,75,60,54,2,7,5,5,1,3,4,9,Teacher
15,100,68,63,60,61,85,88,86,61,71,71,100,7,4,0,8,2,1,2,6,Nurse
33,58,64,65,53,50,69,66,82,60,45,60,71,3,9,3,2,6,0,1,0,Teacher
10,79,66,84,66,95,85,100,55,79,96,100,96,5,5,9,4,6,3,9,9,Electrical Engineer
19,66,40,91,77,52,77,74,91,78,78,74,59,9,6,7,7,2,4,9,7,Accountant
30,68,40,40,87,41,40,41,86,40,45,40,55,8,1,8,0,6,5,5,1,Teacher
31,80,42,66,53,52,46,98,56,46,62,71,57,0,5,5,9,2,9,8,9,Teacher
23,48,65,98,55,53,81,47,81,59,79,72,74,2,4,9,2,4,1,3,1,Teacher
26,57,53,73,58,50,55,72,40,55,77,58,65,2,4,0,3,4,8,7,0,Teacher
33,70,40,60,51,52,76,59,42,40,59,40,78,1,9,9,0,2,3,4,9,Teacher
21,60,79,62,56,52,43,49,41,53,80,68,62,5,4,5,9,2,2,9,4,Teacher
27,59,54,40,58,75,87,56,58,67,82,52,70,9,0,3,9,2,6,4,8,Teacher
32,72,54,92,62,40,55,52,71,53,76,68,44,4,5,8,9,6,4,9,6,Teacher
17,72,100,69,45,89,89,44,63,81,82,74,74,7,7,2,1,5,0,8,6,Agricultural Scientist
26,52,48,53,56,93,40,88,73,63,52,59,73,7,5,7,9,1,7,4,9,Teacher
19,60,67,63,68,79,79,48,63,66,80,50,82,2,8,2,9,0,2,1,8,Accountant
32,74,80,40,40,67,71,58,60,82,56,80,51,3,6,3,7,2,1,9,5,Teacher
21,86,86,79,79,70,80,61,40,79,79,48,76,3,4,8,8,3,7,4,8,Teacher
25,40,100,57,66,57,94,81,94,69,76,46,58,4,0,1,7,7,7,4,7,Teacher
25,79,79,78,66,62,79,76,49,67,72,52,76,6,4,6,3,3,9,3,7,Teacher
26,55,62,76,42,54,53,66,72,40,60,74,40,1,9,3,6,4,9,3,9,Teacher
34,69,77,54,50,72,40,71,62,66,65,62,62,3,8,2,3,2,6,1,9,Teacher
23,44,99,56,89,60,77,86,86,56,52,64,45,1,3,0,9,4,2,8,3,Teacher
7,91,88,91,79,70,74,83,76,100,78,95,98,3,5,8,3,6,6,5,8,Medical Doctor
28,61,67,66,65,68,62,40,67,64,40,80,68,0,1,1,8,9,4,3,9,Teacher
9,83,88,73,78,100,87,97,73,99,83,89,87,9,2,8,4,6,4,1,7,Lawyer
23,82,62,55,40,85,61,63,70,93,62,65,80,3,9,8,1,2,0,9,4,Teacher
21,75,74,70,94,83,44,41,74,66,42,40,64,6,4,6,5,7,2,7,6,Teacher
31,58,53,49,53,40,41,69,83,60,49,40,85,0,4,1,5,4,1,7,4,Teacher
22,83,73,94,100,67,81,100,57,40,81,61,48,5,4,9,5,3,3,6,0,Teacher
24,60,40,50,86,90,100,70,47,84,60,53,69,6,6,9,4,8,6,1,2,Teacher
28,45,78,74,40,53,64,67,64,65,54,62,45,7,5,2,3,0,2,3,1,Teacher
27,40,50,69,40,79,62,70,45,48,57,72,71,9,2,4,3,6,9,6,5,Teacher
12,68,92,77,96,77,92,82,78,66,83,93,71,5,6,3,7,4,2,1,0,Pharmacist
23,78,65,64,64,48,87,79,65,63,52,43,52,2,1,4,6,7,0,1,6,Teacher
19,100,71,40,63,64,94,68,91,83,75,77,75,3,9,2,4,9,4,7,0,Accountant
21,62,49,75,86,60,79,56,78,40,91,52,71,0,8,1,8,8,2,6,2,Teacher
18,79,63,40,63,59,41,64,62,72,80,100,74,2,1,6,0,4,3,6,1,Business Analyst
29,81,40,40,58,70,54,42,40,75,75,69,59,1,9,2,7,5,7,9,4,Teacher
15,88,68,52,78,56,79,63,87,73,72,82,91,7,2,8,4,6,6,8,1,Business Analyst
29,63,94,59,55,61,95,55,74,54,51,81,43,3,9,7,2,9,6,6,1,Teacher
17,88,90,96,60,64,71,54,87,78,72,89,63,1,6,0,2,1,4,1,9,Business Analyst
8,60,100,67,85,76,100,69,76,67,51,95,88,8,0,8,5,7,2,7,8,Lawyer
27,76,54,58,69,95,44,41,56,48,70,62,43,5,1,2,3,8,3,6,7,Teacher
7,91,77,100,83,71,88,100,97,81,100,88,63,5,1,8,1,4,5,3,6,Medical Doctor
17,55,66,78,65,49,84,84,85,60,74,78,83,2,9,7,7,3,5,7,8,Software Engineer
26,54,62,48,54,40,45,54,63,58,81,40,57,0,0,5,6,9,8,9,4,Teacher
10,61,68,83,100,76,79,100,80,83,83,64,93,8,5,4,6,9,7,8,5,Electrical Engineer
23,75,78,93,82,72,86,66,65,47,88,67,64,5,6,6,4,5,6,1,9,Teacher
17,87,85,93,83,85,59,74,63,92,54,41,53,6,8,6,2,5,5,6,5,Teacher
27,65,74,50,41,70,72,43,63,50,74,69,78,2,0,6,9,2,7,8,1,Teacher
29,54,64,40,46,79,81,83,58,40,48,55,51,4,6,8,3,1,2,6,7,Teacher
24,71,63,57,83,73,61,78,86,69,87,56,50,9,5,1,7,3,2,4,7,Teacher
25,62,42,40,81,68,58,70,58,40,77,79,57,7,5,0,8,6,5,3,2,Teacher
14,90,100,68,51,88,99,80,100,66,67,67,80,8,0,6,1,8,8,8,3,Nurse
17,85,78,73,57,57,62,50,51,67,54,71,75,7,3,2,6,0,7,0,6,Agricultural Scientist
29,61,81,61,48,40,58,58,40,54,83,67,40,1,5,1,7,0,1,4,5,Teacher
27,64,69,54,64,54,66,63,93,40,63,53,61,5,9,8,3,1,2,2,1,Teacher
9,67,93,100,96,96,85,80,90,98,86,100,83,2,5,9,5,9,6,3,5,Medical Doctor
7,68,100,48,100,85,86,88,95,89,87,100,97,2,8,7,5,8,9,8,1,Medical Doctor
23,77,63,62,61,40,57,76,65,46,79,61,47,4,9,8,5,8,3,0,3,Teacher
12,88,99,81,100,86,90,61,72,89,80,84,69,1,9,3,0,5,0,8,9,Pharmacist
32,40,53,58,62,68,89,58,86,75,58,64,65,6,1,8,4,4,3,7,3,Teacher
24,73,50,87,56,50,60,70,57,50,50,67,72,7,3,7,3,6,5,9,0,Teacher
29,89,69,57,79,59,71,68,40,61,92,51,83,0,3,0,1,0,5,3,7,Teacher
35,61,45,74,45,67,88,51,66,40,62,46,65,8,9,8,4,5,4,0,3,Teacher
16,72,87,65,57,57,93,64,67,85,65,50,52,6,2,3,1,8,9,8,1,Nurse
6,68,98,90,100,81,100,88,99,93,98,94,95,4,4,3,2,6,6,0,6,Medical Doctor
8,51,84,70,95,97,81,96,96,84,100,77,100,9,9,6,4,6,9,3,5,Lawyer
31,60,42,60,71,61,58,51,41,40,47,79,53,1,1,1,5,0,2,0,3,Teacher
21,62,79,73,65,68,81,88,61,67,87,76,47,0,7,7,1,5,7,9,7,Teacher
35,48,51,59,57,57,65,61,53,60,49,52,40,0,4,9,9,5,6,0,3,Teacher
10,91,77,66,80,40,100,88,97,77,60,87,87,7,6,7,2,2,7,8,9,Lawyer
13,67,86,65,55,69,96,78,81,82,82,100,79,4,6,2,8,0,5,5,7,Pharmacist
8,84,71,79,100,92,96,78,90,83,69,76,80,2,1,8,7,2,4,9,4,Medical Doctor
28,88,57,40,40,57,63,64,40,41,80,40,61,9,1,2,5,2,8,0,6,Teacher
14,92,70,64,70,64,75,100,73,62,72,100,74,2,7,2,4,0,5,1,2,Architect
16,89,61,81,64,85,76,89,100,75,59,51,62,1,9,7,6,0,8,7,8,Nurse
32,58,67,76,80,63,54,52,40,73,100,80,60,7,4,3,7,4,7,0,2,Teacher
6,79,92,88,95,73,80,100,96,100,87,95,83,8,9,7,7,2,9,8,7,Medical Doctor
28,47,42,78,47,69,49,40,69,50,66,67,68,8,6,6,1,1,4,6,6,Teacher
19,44,42,73,62,56,68,66,69,58,100,55,67,5,7,7,0,8,0,1,8,Accountant
6,88,80,99,91,96,100,93,100,71,69,100,95,9,4,0,8,6,7,8,9,Medical Doctor
28,71,59,60,56,52,73,71,90,69,52,46,74,2,4,6,0,0,9,1,0,Teacher
35,54,53,62,44,44,54,54,44,73,54,56,40,8,9,5,5,5,4,0,3,Teacher
26,40,68,59,80,45,77,52,72,41,40,66,56,7,6,5,0,9,7,4,3,Teacher
35,62,78,65,65,40,47,90,51,78,50,55,67,5,7,3,4,9,4,9,3,Teacher
35,62,57,67,58,44,63,62,60,62,89,42,45,1,8,6,2,9,9,6,9,Teacher
10,82,84,100,80,88,98,72,100,100,84,76,100,9,3,6,1,9,5,4,2,Electrical Engineer
15,72,82,63,68,87,86,100,66,63,100,73,48,9,6,1,2,7,6,2,7,Civil Engineer
14,84,77,91,85,73,51,100,68,84,50,78,80,4,8,4,9,7,1,5,5,Agricultural Scientist
11,85,79,99,100,70,76,93,81,69,91,93,78,7,4,9,3,6,9,9,7,Pharmacist
22,95,54,55,69,51,80,70,62,59,48,71,69,9,9,6,5,3,9,8,6,Teacher
25,54,43,74,40,71,41,64,76,57,87,91,66,3,5,7,2,8,8,2,5,Teacher
29,54,76,44,57,72,44,53,40,46,40,44,40,4,9,5,2,2,9,6,0,Teacher
27,62,58,62,59,97,61,54,61,75,59,70,65,5,9,5,7,4,0,3,2,Teacher
21,72,53,74,82,77,79,58,61,77,69,45,81,0,8,2,1,3,3,8,3,Teacher
25,53,54,68,88,86,67,56,71,81,65,56,72,2,6,5,0,8,1,2,4,Teacher
8,77,85,100,97,100,71,84,78,100,85,79,57,7,8,0,0,5,0,4,0,Lawyer
17,92,86,84,92,100,69,69,68,60,92,94,90,0,6,9,1,2,3,2,2,Agricultural Scientist
20,64,87,40,64,40,73,81,49,51,44,70,64,7,4,4,7,7,6,4,6,Agricultural Scientist
22,78,45,80,80,40,50,57,75,73,53,91,56,0,7,4,4,2,9,1,0,Teacher
31,63,59,64,73,64,75,43,53,43,68,78,55,5,6,4,9,9,6,3,7,Teacher
24,63,70,76,79,40,63,94,65,51,62,58,46,9,3,4,1,7,9,2,6,Teacher
15,76,70,63,71,88,82,92,74,100,82,70,78,6,7,9,6,8,6,3,8,Electrical Engineer
31,62,71,66,91,40,42,62,73,60,79,51,55,1,1,3,6,5,4,3,1,Teacher
34,54,57,61,58,40,74,40,62,48,62,56,65,4,3,3,3,3,3,5,1,Teacher
25,87,53,55,40,52,58,58,87,71,76,62,51,2,1,9,7,2,6,9,5,Teacher
16,67,57,58,64,73,85,71,72,74,83,85,55,3,7,7,5,7,5,3,5,Teacher
29,58,50,62,66,43,83,40,64,85,61,40,82,2,7,4,9,5,0,3,8,Teacher
20,52,100,71,81,83,94,93,84,47,84,64,51,7,3,6,8,1,2,0,7,Teacher
28,71,77,69,47,40,49,69,59,73,56,55,84,0,2,3,3,2,1,7,9,Teacher
23,78,53,85,80,75,63,49,64,53,71,48,54,4,3,5,2,5,5,5,2,Teacher
9,72,79,97,100,89,75,92,97,56,88,83,100,4,4,4,0,4,9,7,2,Medical Doctor
27,61,75,76,64,57,51,42,85,61,56,56,59,5,7,4,5,3,5,5,2,Teacher
13,67,77,58,87,75,100,60,94,86,67,57,76,5,2,8,7,8,3,7,2,Pharmacist
12,63,95,77,75,100,77,86,57,80,68,74,73,7,9,1,7,7,5,7,1,Civil Engineer
17,81,100,75,74,70,91,79,87,77,88,80,53,6,5,0,9,8,5,1,6,Nurse
20,84,66,56,80,75,65,64,56,80,64,58,50,5,7,7,9,5,1,4,3,Teacher
7,96,83,88,86,99,100,100,100,73,100,79,62,4,2,3,3,6,6,0,2,Medical Doctor
27,84,63,48,43,75,61,70,40,63,52,40,59,3,0,0,7,9,6,3,0,Teacher
17,62,76,48,46,66,75,65,65,51,83,63,99,4,1,6,4,8,5,0,8,Agricultural Scientist
21,78,71,77,72,74,62,40,71,78,72,57,59,5,9,8,4,2,9,3,2,Teacher
35,81,40,68,54,49,78,44,63,61,41,72,90,5,6,4,8,6,0,8,5,Teacher
30,64,72,72,49,60,58,57,47,81,75,66,80,2,4,4,7,9,9,3,0,Teacher
22,46,80,42,83,74,96,69,76,77,53,50,52,0,2,3,4,3,3,8,8,Teacher
10,91,83,100,83,89,91,98,86,100,76,100,63,5,5,0,6,4,5,0,6,Pharmacist
17,76,61,97,82,75,78,84,92,67,64,80,98,7,1,4,0,8,3,9,1,Teacher
16,82,71,100,88,69,77,85,73,78,63,50,77,3,1,5,0,7,8,6,8,Business Analyst
6,83,83,86,92,83,98,66,94,100,100,89,100,5,0,8,9,7,9,3,4,Medical Doctor
11,100,88,57,90,70,71,82,87,71,57,80,80,9,6,0,8,7,0,9,0,Pharmacist
7,92,76,100,98,69,65,77,90,100,79,66,93,2,0,7,1,1,9,3,4,Medical Doctor
24,61,59,79,72,67,40,60,76,49,60,63,67,6,6,5,3,4,8,0,1,Teacher
33,70,71,43,41,69,51,69,81,50,52,40,72,9,1,7,7,8,1,3,1,Teacher
28,56,68,67,56,66,54,58,56,76,40,69,65,7,9,7,2,9,6,1,8,Teacher
13,64,86,100,98,100,85,85,64,94,79,90,80,1,9,3,2,9,7,6,2,Accountant
19,59,87,80,82,66,56,89,97,86,84,72,60,5,4,5,8,5,5,7,4,Teacher
34,75,64,50,58,67,61,76,48,43,48,53,62,8,6,4,4,5,0,5,5,Teacher
10,79,96,97,79,100,97,74,89,95,75,100,72,3,1,6,6,4,4,7,5,Civil Engineer
35,66,75,41,57,57,66,62,46,84,40,50,40,2,4,3,5,2,9,3,3,Teacher
20,58,88,85,49,81,72,73,93,72,80,73,73,1,4,7,6,2,9,8,4,Accountant
21,47,65,80,50,66,65,59,69,62,83,76,65,5,6,1,5,5,8,7,4,Teacher
10,86,85,89,96,91,68,89,97,74,89,76,100,4,4,3,5,7,9,4,7,Architect
26,81,49,68,65,40,76,60,83,70,49,57,57,1,7,1,0,9,1,1,6,Teacher
24,50,66,79,80,80,50,95,90,51,59,74,53,9,2,6,0,7,7,7,8,Teacher
20,85,81,64,78,79,53,100,57,40,76,75,64,7,6,4,9,7,7,7,9,Agricultural Scientist
29,57,57,56,61,65,88,81,43,57,60,53,75,6,8,7,1,6,4,9,3,Teacher
15,54,94,73,78,85,79,68,94,75,60,82,76,0,0,4,6,8,6,4,2,Civil Engineer
17,62,43,74,86,51,79,53,87,74,61,50,100,6,1,7,6,8,3,8,0,Business Analyst
12,86,100,100,77,92,54,84,78,96,91,86,88,4,6,4,9,3,6,3,9,Nurse
7,83,91,100,82,95,86,89,94,100,93,50,86,1,9,4,0,9,2,5,0,Medical Doctor
22,72,60,74,81,68,72,68,57,54,45,89,63,2,5,7,4,0,9,2,1,Teacher
10,58,96,98,84,100,95,84,100,86,71,97,100,3,9,8,6,1,5,3,7,Civil Engineer
21,51,84,88,76,73,40,77,92,84,83,43,57,6,5,8,1,1,6,8,4,Teacher
29,84,71,61,62,60,87,69,54,68,66,53,47,4,2,3,1,8,6,9,2,Teacher
16,69,96,50,72,78,66,65,92,100,70,76,84,9,3,2,0,7,1,7,0,Business Analyst
25,51,44,49,52,63,44,66,77,79,56,62,52,9,2,0,0,5,3,6,9,Teacher
22,53,40,61,45,77,49,89,66,67,40,69,65,0,8,2,2,4,9,0,2,Teacher
23,55,80,73,83,52,68,68,58,83,77,95,75,7,3,2,6,6,1,0,7,Teacher
28,84,40,45,70,64,63,70,63,51,69,60,53,1,1,3,7,1,3,7,2,Teacher
7,100,87,82,100,85,89,74,98,67,88,89,82,2,4,2,7,9,5,1,0,Medical Doctor
16,64,84,80,75,62,81,49,40,72,67,91,78,2,7,3,4,8,6,9,6,Software Engineer
13,81,94,79,92,85,66,97,60,49,81,89,88,0,1,6,4,5,7,8,7,Nurse
19,81,68,55,43,82,81,75,64,54,70,51,60,8,7,3,0,7,4,0,1,Accountant
34,67,73,71,73,62,58,40,56,42,69,40,57,4,9,5,0,3,9,9,5,Teacher
7,78,100,100,100,68,100,97,100,100,94,77,78,3,6,0,1,9,4,8,5,Medical Doctor
24,55,68,72,64,79,71,76,54,60,40,63,43,8,7,1,3,0,6,3,7,Teacher
20,40,99,66,84,87,93,59,66,69,64,89,68,3,6,0,0,8,5,4,1,Accountant
12,84,100,66,49,86,100,100,100,62,76,87,47,5,7,1,2,9,9,6,0,Medical Doctor
27,51,63,40,53,79,66,74,54,84,71,61,69,2,5,8,4,8,3,8,0,Teacher
16,100,49,62,68,91,79,65,59,53,83,70,91,2,1,0,2,7,5,1,7,Civil Engineer
10,92,90,75,91,84,100,100,47,61,82,97,86,4,2,1,0,5,6,1,1,Electrical Engineer
10,100,64,68,80,60,79,70,81,89,79,79,88,9,1,5,7,2,8,3,4,Pharmacist
28,53,40,57,83,72,52,57,74,80,40,62,54,8,5,6,5,1,8,4,2,Teacher
18,60,100,78,84,93,85,72,98,85,70,50,72,7,5,8,5,6,4,7,1,Accountant
13,89,73,80,88,57,87,54,100,74,96,63,89,1,5,7,2,5,8,0,2,Nurse
33,74,42,40,60,48,60,64,40,70,42,59,50,5,1,7,5,2,3,6,8,Teacher
23,60,85,95,64,67,45,90,55,59,77,69,73,4,6,7,2,5,8,9,4,Teacher
9,100,83,99,93,56,89,54,93,89,67,89,79,5,5,2,3,5,5,0,9,Medical Doctor
7,95,86,100,97,89,88,83,100,100,100,95,81,9,1,1,0,2,9,4,5,Medical Doctor
22,79,62,100,67,62,63,83,63,76,46,69,81,1,6,3,5,3,8,0,0,Teacher
26,72,61,81,71,78,81,57,71,40,43,68,66,3,0,7,9,2,5,3,5,Teacher
28,65,57,92,81,62,40,96,72,51,73,71,50,0,5,0,8,0,2,8,0,Teacher
9,90,100,84,43,94,100,93,67,76,84,66,77,9,6,5,8,3,3,8,1,Lawyer
30,41,52,76,40,47,81,67,76,58,86,40,56,7,8,9,3,9,4,2,7,Teacher
15,79,81,74,67,71,67,100,59,65,77,61,78,0,6,6,4,5,8,2,3,Nurse
18,52,92,48,78,65,88,77,99,90,74,91,71,6,9,4,9,5,2,1,9,Teacher
30,65,63,58,76,58,73,62,63,64,57,83,76,0,8,8,6,0,9,1,7,Teacher
18,64,76,99,51,79,83,73,100,80,93,85,95,5,5,2,3,0,0,4,3,Agricultural Scientist
12,86,100,95,52,75,79,77,63,68,96,93,80,9,3,2,8,6,8,3,2,Pharmacist
21,62,51,76,61,55,69,84,62,54,40,46,61,8,8,5,5,3,7,8,6,Teacher
7,73,100,90,100,77,100,82,63,86,79,100,80,0,5,7,1,5,0,5,5,Medical Doctor
19,85,85,66,68,40,98,66,87,62,71,79,64,6,9,7,7,3,9,1,5,Agricultural Scientist
29,69,56,61,95,63,40,61,71,40,59,40,60,5,9,1,4,3,9,8,3,Teacher
10,89,79,100,100,86,91,85,100,97,69,75,69,8,4,8,5,6,6,1,4,Civil Engineer
17,71,80,80,87,88,58,63,96,87,84,86,91,9,1,4,3,0,0,0,7,Accountant
24,60,56,44,80,75,59,50,66,56,60,45,67,8,6,7,6,8,1,3,1,Teacher
29,65,48,84,59,72,51,53,73,71,58,40,52,1,2,8,4,6,1,7,2,Teacher
29,51,56,55,60,40,56,81,43,40,41,99,66,6,6,6,1,2,0,1,9,Teacher
22,64,67,66,73,75,66,100,80,40,61,66,76,3,9,6,2,9,2,3,5,Teacher
35,77,72,66,53,76,72,56,40,61,49,70,63,1,4,7,7,9,3,6,6,Teacher
20,71,93,85,61,68,69,76,76,68,51,68,64,3,3,8,4,0,6,5,8,Agricultural Scientist
15,90,84,82,55,82,75,85,76,88,91,40,70,6,9,1,4,6,6,2,7,Pharmacist
22,51,89,71,73,71,51,76,93,43,68,78,55,7,7,4,6,7,3,1,4,Teacher
17,73,73,94,79,66,50,87,76,68,66,93,95,3,5,8,8,7,0,9,9,Teacher
32,58,62,47,52,57,70,80,56,44,60,90,45,7,0,7,8,0,6,4,7,Teacher
23,67,59,47,67,71,66,53,97,58,73,77,40,3,3,2,3,8,4,5,3,Teacher
34,92,63,45,62,78,43,89,67,42,52,53,76,1,9,3,1,8,8,4,2,Teacher
18,92,70,79,76,73,60,58,83,60,46,72,94,5,4,0,5,7,4,2,2,Agricultural Scientist
17,87,72,67,61,91,53,98,74,58,87,82,80,8,9,5,2,5,7,6,7,Teacher
26,59,56,61,52,84,50,61,70,71,55,77,93,8,9,0,0,3,5,1,0,Teacher
29,80,56,78,77,40,47,51,79,59,79,57,79,2,1,3,7,2,3,1,0,Teacher
28,40,48,75,65,70,92,59,60,56,53,44,61,1,7,5,0,5,0,8,2,Teacher
22,72,40,47,48,72,64,57,72,44,54,66,95,9,7,3,0,6,0,6,8,Teacher
20,63,69,88,97,66,76,83,76,50,58,81,61,6,4,9,7,0,8,9,5,Teacher
13,72,100,88,98,71,67,88,81,79,100,68,66,1,8,9,7,4,5,8,0,Architect
26,61,50,46,46,66,72,73,55,77,65,62,40,9,4,2,3,5,5,5,1,Teacher
35,60,44,79,64,57,52,51,42,40,40,75,48,8,7,9,6,3,1,8,2,Teacher
34,57,66,71,46,57,85,62,64,77,52,59,72,9,4,0,1,8,5,6,4,Teacher
15,79,80,63,94,100,95,63,66,47,74,75,89,8,6,2,9,4,8,8,7,Agricultural Scientist
28,67,63,48,88,59,67,63,40,44,61,47,66,3,7,5,6,8,1,6,3,Teacher
33,47,58,65,41,52,61,80,40,69,54,52,49,2,9,6,8,1,4,0,6,Teacher
26,58,78,81,43,50,70,75,56,49,62,83,61,5,2,9,7,1,3,3,8,Teacher
9,76,93,77,100,68,96,58,69,71,71,76,98,1,9,6,8,8,8,8,5,Medical Doctor
21,69,80,46,79,40,83,43,86,86,63,75,68,7,2,5,4,6,8,6,5,Teacher
14,65,75,65,63,71,82,65,94,66,72,96,87,5,3,9,7,9,2,4,0,Software Engineer
30,70,57,59,63,69,84,48,67,51,57,70,62,5,3,9,9,9,9,0,4,Teacher
8,73,76,94,100,74,98,83,80,100,75,70,94,6,0,9,3,3,8,8,2,Lawyer
30,90,43,56,40,59,84,67,71,62,49,40,81,5,6,4,2,5,6,9,9,Teacher
30,47,59,57,61,53,73,79,71,58,53,76,64,3,5,6,6,2,7,6,3,Teacher
9,95,100,100,70,41,100,94,92,75,55,56,81,9,2,8,8,0,1,3,6,Medical Doctor
7,71,77,100,100,99,86,100,100,87,60,100,100,7,4,8,8,3,0,4,6,Medical Doctor
30,52,42,78,69,51,56,55,64,81,46,64,63,0,6,6,9,2,5,3,3,Teacher
12,48,77,63,69,98,55,83,83,80,83,48,69,8,5,9,1,5,5,1,6,Civil Engineer
14,86,82,100,78,80,91,74,95,92,100,77,87,8,0,1,3,9,6,3,7,Electrical Engineer
10,78,84,71,79,100,60,61,97,79,56,84,81,2,7,2,3,7,9,3,8,Medical Doctor
22,64,44,58,57,74,70,68,63,86,66,81,75,1,2,9,3,6,3,6,3,Teacher
8,100,92,79,76,82,79,100,87,63,91,89,80,2,3,2,7,1,8,5,0,Medical Doctor
15,69,76,79,72,67,76,76,82,84,89,85,79,9,2,5,8,5,4,0,1,Civil Engineer
6,100,100,78,100,97,100,85,94,97,77,100,90,5,1,6,9,6,3,7,2,Medical Doctor
30,63,67,61,71,56,55,60,77,40,46,94,64,3,8,4,3,8,1,1,2,Teacher
17,46,90,82,48,64,73,74,100,60,59,93,71,6,0,4,5,1,1,8,1,Accountant
14,100,74,77,86,94,100,100,67,100,86,71,61,1,6,6,1,0,9,0,0,Software Engineer
33,79,63,53,68,92,50,73,62,40,40,53,65,9,8,8,8,2,8,8,4,Teacher
28,51,40,73,68,58,62,77,59,40,40,80,68,0,7,1,4,5,3,8,2,Teacher
